directory,size_bytes,size_human,classification,n_references,has_small_summary,reason
outputs/visual_inspection_low_0p300,54614095,52.1M,SUMMARIZE_THEN_DELETE,3,True,Large (52.1M) generated diagnostic/raw output; referenced by 3 kept file(s); regenerable. Extract small summaries first.
outputs/step_c_height_recovery_rich,41292477,39.4M,SUMMARIZE_THEN_DELETE,1,True,Small (39.4M) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/balance_core_position_containment_e0b,41216400,39.3M,SUMMARIZE_THEN_DELETE,0,True,Small (39.3M) generated output; has summary artifacts; extract summaries then delete.
outputs/step_e_height_variant_position_hold_audit,33424562,31.9M,SUMMARIZE_THEN_DELETE,2,True,Small (31.9M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/balance_core_position_aware_precheck_5000,33296041,31.8M,DELETE_DIRECT,0,False,"Small (31.8M) generated output, no summary files, no kept reference."
outputs/balance_core_e0_cleanup_validation_5000,33296001,31.8M,DELETE_DIRECT,0,False,"Small (31.8M) generated output, no summary files, no kept reference."
outputs/step_e_hip_yaw_authority_fix,27522087,26.2M,SUMMARIZE_THEN_DELETE,0,True,Small (26.2M) generated output; has summary artifacts; extract summaries then delete.
outputs/hip_yaw_boundary_audit,26064346,24.9M,SUMMARIZE_THEN_DELETE,3,True,Small (24.9M) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/step_e_root_cause_diagnostics,25012198,23.9M,SUMMARIZE_THEN_DELETE,1,True,Small (23.9M) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/step_c_height_recovery_variant_short,18304592,17.5M,SUMMARIZE_THEN_DELETE,0,True,Small (17.5M) generated output; has summary artifacts; extract summaries then delete.
outputs/joint_profile_smoke_tests,17859864,17.0M,SUMMARIZE_THEN_DELETE,3,False,Small (17.0M) generated output; referenced by 3 kept file(s); extract summaries then delete.
outputs/step_c_high_tiny_failure_audit,7493011,7.1M,SUMMARIZE_THEN_DELETE,0,True,Small (7.1M) generated output; has summary artifacts; extract summaries then delete.
outputs/step_c_height_recovery_short_v2,7311124,7.0M,SUMMARIZE_THEN_DELETE,0,True,Small (7.0M) generated output; has summary artifacts; extract summaries then delete.
outputs/balance_core_e0_cleanup_validation,6667099,6.4M,DELETE_DIRECT,0,False,"Small (6.4M) generated output, no summary files, no kept reference."
outputs/balance_core_position_aware_precheck_1000,6667072,6.4M,DELETE_DIRECT,0,False,"Small (6.4M) generated output, no summary files, no kept reference."
outputs/stage2b_diagnostics,4934861,4.7M,SUMMARIZE_THEN_DELETE,2,True,Small (4.7M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/hip_yaw_root_cause_audit,4229122,4.0M,SUMMARIZE_THEN_DELETE,2,True,Small (4.0M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/step_c_height_recovery_short,3661062,3.5M,SUMMARIZE_THEN_DELETE,1,True,Small (3.5M) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/continuous_low_height_sagittal_fix,3591136,3.4M,SUMMARIZE_THEN_DELETE,2,True,Small (3.4M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/step_e_official_validation,2979528,2.8M,SUMMARIZE_THEN_DELETE,2,True,Small (2.8M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/low_height_pitch_position_interaction_audit,2519749,2.4M,SUMMARIZE_THEN_DELETE,3,True,Small (2.4M) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/step_c_high_tiny_rich_audit,2046499,2.0M,SUMMARIZE_THEN_DELETE,1,True,Small (2.0M) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/hip_yaw_yaw_architecture_audit,2003629,1.9M,SUMMARIZE_THEN_DELETE,7,True,Small (1.9M) generated output; has summary artifacts; referenced by 7 kept file(s); extract summaries then delete.
outputs/phase_b9_geometry_check,1412228,1.3M,SUMMARIZE_THEN_DELETE,2,True,Small (1.3M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/d2_height_tracking_and_hiproll_audit,1396568,1.3M,SUMMARIZE_THEN_DELETE,2,True,Small (1.3M) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_posture_fixed,1291689,1.2M,SUMMARIZE_THEN_DELETE,1,True,Small (1.2M) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_posture_balanced_root,1268880,1.2M,DELETE_DIRECT,0,False,"Small (1.2M) generated output, no summary files, no kept reference."
outputs/stage2_diagnostics,1039975,1015.6K,SUMMARIZE_THEN_DELETE,0,True,Small (1015.6K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_candidate_postures,937945,916.0K,DELETE_DIRECT,0,False,"Small (916.0K) generated output, no summary files, no kept reference."
outputs/phase_b9_task6_empirical_ik_corrected,771850,753.8K,SUMMARIZE_THEN_DELETE,2,True,Small (753.8K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_task6_empirical_ik_standing_only,769451,751.4K,SUMMARIZE_THEN_DELETE,0,True,Small (751.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_5_roll_tilt_fix,704238,687.7K,SUMMARIZE_THEN_DELETE,1,True,Small (687.7K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/advanced_hip_yaw_rejection_audit,559341,546.2K,SUMMARIZE_THEN_DELETE,2,True,Small (546.2K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_task6_empirical_ik,532379,519.9K,SUMMARIZE_THEN_DELETE,3,True,Small (519.9K) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/step_c_initialization_method_audit,450947,440.4K,SUMMARIZE_THEN_DELETE,1,True,Small (440.4K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/operational_height_envelope_search,395183,385.9K,SUMMARIZE_THEN_DELETE,2,True,Small (385.9K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b8_diagnostics,320893,313.4K,SUMMARIZE_THEN_DELETE,2,False,Small (313.4K) generated output; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_camera_tests,292771,285.9K,DELETE_DIRECT,0,False,"Small (285.9K) generated output, no summary files, no kept reference."
outputs/low_0p300_initialization_contact_audit,264998,258.8K,SUMMARIZE_THEN_DELETE,2,True,Small (258.8K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_task4_telemetry,203343,198.6K,SUMMARIZE_THEN_DELETE,2,True,Small (198.6K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_baseline_comparison,177044,172.9K,SUMMARIZE_THEN_DELETE,1,True,Small (172.9K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/controller_system_root_cause_audit,163859,160.0K,SUMMARIZE_THEN_DELETE,5,True,Small (160.0K) generated output; has summary artifacts; referenced by 5 kept file(s); extract summaries then delete.
outputs/phase_b9_balanced_root_contact_test,154417,150.8K,DELETE_DIRECT,0,False,"Small (150.8K) generated output, no summary files, no kept reference."
outputs/step_e_second_stage_diagnostics,150217,146.7K,SUMMARIZE_THEN_DELETE,1,True,Small (146.7K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/hierarchical_controller_fix_phase7,145921,142.5K,SUMMARIZE_THEN_DELETE,0,True,Small (142.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/hierarchical_controller_fix_phase6,142540,139.2K,SUMMARIZE_THEN_DELETE,0,True,Small (139.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/hierarchical_controller_fix_phase4,117691,114.9K,SUMMARIZE_THEN_DELETE,0,True,Small (114.9K) generated output; has summary artifacts; extract summaries then delete.
outputs/physical_standing_height_envelope_search,116113,113.4K,SUMMARIZE_THEN_DELETE,3,True,Small (113.4K) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/hip_yaw_sign_fix_roll_collapse_audit,115914,113.2K,DELETE_DIRECT,0,False,"Small (113.2K) generated output, no summary files, no kept reference."
outputs/hierarchical_controller_fix_phase5,114880,112.2K,SUMMARIZE_THEN_DELETE,0,True,Small (112.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/hierarchical_controller_fix_baseline_step_a,108055,105.5K,SUMMARIZE_THEN_DELETE,0,True,Small (105.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/hierarchical_controller_fix_phase3,102606,100.2K,SUMMARIZE_THEN_DELETE,0,True,Small (100.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/hierarchical_controller_fix_step_b,98013,95.7K,SUMMARIZE_THEN_DELETE,0,True,Small (95.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/hierarchical_controller_fix_phase2_selected,97091,94.8K,SUMMARIZE_THEN_DELETE,0,True,Small (94.8K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_task7_gain_tuning,80761,78.9K,SUMMARIZE_THEN_DELETE,2,True,Small (78.9K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/step_e_extreme_failure_root_cause_audit,78287,76.5K,SUMMARIZE_THEN_DELETE,4,True,Small (76.5K) generated output; has summary artifacts; referenced by 4 kept file(s); extract summaries then delete.
outputs/hierarchical_controller_fix_phase2,76614,74.8K,SUMMARIZE_THEN_DELETE,0,True,Small (74.8K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_10_early_transient_fix,72021,70.3K,SUMMARIZE_THEN_DELETE,1,True,Small (70.3K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_20_low_stiffness_dynamic_balance,66130,64.6K,SUMMARIZE_THEN_DELETE,2,True,Small (64.6K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/continuous_low_height_sagittal_authority_fix,61960,60.5K,SUMMARIZE_THEN_DELETE,0,True,Small (60.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/stage2_gain_sweep,59917,58.5K,SUMMARIZE_THEN_DELETE,1,True,Small (58.5K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_slow_loop_gating_full_sweep,56531,55.2K,DELETE_DIRECT,0,False,"Small (55.2K) generated output, no summary files, no kept reference."
outputs/hip_yaw_divergence_fix_authority_eval,55751,54.4K,SUMMARIZE_THEN_DELETE,2,True,Small (54.4K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/balance_core_true_height_variants,55666,54.4K,SUMMARIZE_THEN_DELETE,19,True,Small (54.4K) generated output; has summary artifacts; referenced by 19 kept file(s); extract summaries then delete.
outputs/phase_b9_slow_loop_gating,52983,51.7K,SUMMARIZE_THEN_DELETE,1,False,Small (51.7K) generated output; referenced by 1 kept file(s); extract summaries then delete.
outputs/prior_tuning,51539,50.3K,SUMMARIZE_THEN_DELETE,1,True,Small (50.3K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/height_range_extension_strategy_audit,47878,46.8K,SUMMARIZE_THEN_DELETE,7,True,Small (46.8K) generated output; has summary artifacts; referenced by 7 kept file(s); extract summaries then delete.
outputs/phase_b9_lqr_gain_strengthening,45964,44.9K,SUMMARIZE_THEN_DELETE,5,True,Small (44.9K) generated output; has summary artifacts; referenced by 5 kept file(s); extract summaries then delete.
outputs/sagittal_velocity_damped_balance,45298,44.2K,SUMMARIZE_THEN_DELETE,0,True,Small (44.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/balance_core_extended_height_range,44789,43.7K,SUMMARIZE_THEN_DELETE,1,True,Small (43.7K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_25_hierarchical_torque_fusion,44452,43.4K,SUMMARIZE_THEN_DELETE,1,True,Small (43.4K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/five_variant_step_e_step_c_baseline_audit,42887,41.9K,SUMMARIZE_THEN_DELETE,1,True,Small (41.9K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/boundary_yaw_position_coupling_fix,32017,31.3K,SUMMARIZE_THEN_DELETE,5,True,Small (31.3K) generated output; has summary artifacts; referenced by 5 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_21_dualrate_controller_debug,29053,28.4K,SUMMARIZE_THEN_DELETE,0,True,Small (28.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_23_equivalence_audit,26203,25.6K,SUMMARIZE_THEN_DELETE,0,True,Small (25.6K) generated output; has summary artifacts; extract summaries then delete.
outputs/step_c_contact_invalid_audit,23508,23.0K,SUMMARIZE_THEN_DELETE,0,True,Small (23.0K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_17_torque_level_wbc_prototype,22015,21.5K,SUMMARIZE_THEN_DELETE,0,True,Small (21.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/physical_target_height_setups,19543,19.1K,PROTECT,44,True,Trained checkpoints / setup JSONs — never delete.
outputs/phase_b9_independent_standability_audit,19367,18.9K,SUMMARIZE_THEN_DELETE,0,True,Small (18.9K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_24_torque_first_stabilized_wbc,17772,17.4K,SUMMARIZE_THEN_DELETE,0,True,Small (17.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/boundary_deep_root_cause_audit,17283,16.9K,SUMMARIZE_THEN_DELETE,3,True,Small (16.9K) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_20b_canonical_eval_rebuild,16854,16.5K,SUMMARIZE_THEN_DELETE,0,True,Small (16.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/joint_low_height_sagittal_yaw_fix,16764,16.4K,SUMMARIZE_THEN_DELETE,3,True,Small (16.4K) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_8_roll_redesign,16446,16.1K,SUMMARIZE_THEN_DELETE,1,True,Small (16.1K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_18_deployable_motor_torque_interface,14194,13.9K,SUMMARIZE_THEN_DELETE,0,True,Small (13.9K) generated output; has summary artifacts; extract summaries then delete.
outputs/balance_core_longevity_height_sweep,13104,12.8K,SUMMARIZE_THEN_DELETE,1,True,Small (12.8K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/height_range_extension_experiment_0,13085,12.8K,SUMMARIZE_THEN_DELETE,4,True,Small (12.8K) generated output; has summary artifacts; referenced by 4 kept file(s); extract summaries then delete.
outputs/step_e_official_validation_v2,12806,12.5K,SUMMARIZE_THEN_DELETE,2,True,Small (12.5K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_22_torque_first_wbc,12712,12.4K,SUMMARIZE_THEN_DELETE,0,True,Small (12.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/posture_standing_validation_a0_5000,12459,12.2K,SUMMARIZE_THEN_DELETE,2,True,Small (12.2K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/classical_prior_eval,12036,11.8K,SUMMARIZE_THEN_DELETE,1,True,Small (11.8K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/classical_prior_comparison,11808,11.5K,SUMMARIZE_THEN_DELETE,1,True,Small (11.5K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_18c_torque_gain_saturation_calibration,11689,11.4K,SUMMARIZE_THEN_DELETE,3,True,Small (11.4K) generated output; has summary artifacts; referenced by 3 kept file(s); extract summaries then delete.
outputs/phase_b9_slow_loop_gating_fixed_baseline,10896,10.6K,DELETE_DIRECT,0,False,"Small (10.6K) generated output, no summary files, no kept reference."
outputs/phase_b9_step5_11_corrective_path_audit,10552,10.3K,SUMMARIZE_THEN_DELETE,1,True,Small (10.3K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/low_height_sagittal_authority_transmission_audit,9324,9.1K,SUMMARIZE_THEN_DELETE,2,True,Small (9.1K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/b9_diagnostic_pitch_only,9244,9.0K,SUMMARIZE_THEN_DELETE,0,True,Small (9.0K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_step2_full,9226,9.0K,SUMMARIZE_THEN_DELETE,0,True,Small (9.0K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_16_jacobian_wbc_vmc,9009,8.8K,SUMMARIZE_THEN_DELETE,0,True,Small (8.8K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b6_tuning_sanity,8608,8.4K,SUMMARIZE_THEN_DELETE,0,True,Small (8.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/tune_validation_smoke,8602,8.4K,SUMMARIZE_THEN_DELETE,0,True,Small (8.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_obsfix,8427,8.2K,SUMMARIZE_THEN_DELETE,0,True,Small (8.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b7_eval,8322,8.1K,SUMMARIZE_THEN_DELETE,1,True,Small (8.1K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/b9_diagnostic,7928,7.7K,SUMMARIZE_THEN_DELETE,0,True,Small (7.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_fixed,7910,7.7K,SUMMARIZE_THEN_DELETE,0,True,Small (7.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_fixed_smoke,7910,7.7K,SUMMARIZE_THEN_DELETE,0,True,Small (7.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_fixed_corrected,7638,7.5K,SUMMARIZE_THEN_DELETE,0,True,Small (7.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/boundary_forensic_root_cause,7305,7.1K,SUMMARIZE_THEN_DELETE,1,True,Small (7.1K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_fast_loop_only,7065,6.9K,SUMMARIZE_THEN_DELETE,1,False,Small (6.9K) generated output; referenced by 1 kept file(s); extract summaries then delete.
outputs/b9_diagnostic_rollfix,5830,5.7K,SUMMARIZE_THEN_DELETE,0,True,Small (5.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_rollfix_flipped,5816,5.7K,SUMMARIZE_THEN_DELETE,0,True,Small (5.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_corrected,5813,5.7K,SUMMARIZE_THEN_DELETE,0,True,Small (5.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_resetfix,5813,5.7K,SUMMARIZE_THEN_DELETE,0,True,Small (5.7K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_diagnostic_rollfix_strong,5427,5.3K,SUMMARIZE_THEN_DELETE,0,True,Small (5.3K) generated output; has summary artifacts; extract summaries then delete.
outputs/hip_yaw_divergence_fix_eval,5207,5.1K,SUMMARIZE_THEN_DELETE,1,True,Small (5.1K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/hip_yaw_sign_convention_audit,5018,4.9K,SUMMARIZE_THEN_DELETE,2,True,Small (4.9K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_18b_hybrid_pid_torque_rollout_validation,5007,4.9K,SUMMARIZE_THEN_DELETE,0,True,Small (4.9K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_7_early_roll_stabilizer,4876,4.8K,SUMMARIZE_THEN_DELETE,1,True,Small (4.8K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b_baseline_check,4733,4.6K,SUMMARIZE_THEN_DELETE,0,True,Small (4.6K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b8_ablation,4712,4.6K,SUMMARIZE_THEN_DELETE,1,False,Small (4.6K) generated output; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_balanced_root_solver,4249,4.1K,SUMMARIZE_THEN_DELETE,0,True,Small (4.1K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_step5_9_roll_authority_audit,4092,4.0K,SUMMARIZE_THEN_DELETE,1,True,Small (4.0K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_audit_gate,4003,3.9K,SUMMARIZE_THEN_DELETE,0,True,Small (3.9K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b_ppo_check,3867,3.8K,SUMMARIZE_THEN_DELETE,0,True,Small (3.8K) generated output; has summary artifacts; extract summaries then delete.
outputs/balance_core_extended_longevity,3397,3.3K,SUMMARIZE_THEN_DELETE,1,True,Small (3.3K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_task5_equilibrium,2913,2.8K,SUMMARIZE_THEN_DELETE,2,True,Small (2.8K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/visual_environment_check,2910,2.8K,SUMMARIZE_THEN_DELETE,2,True,Small (2.8K) generated output; has summary artifacts; referenced by 2 kept file(s); extract summaries then delete.
outputs/phase_b9_task6_corrected_ik_eval,2564,2.5K,SUMMARIZE_THEN_DELETE,0,True,Small (2.5K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_task6_standing_ik_eval,2498,2.4K,SUMMARIZE_THEN_DELETE,0,True,Small (2.4K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b_narrow_height,2253,2.2K,SUMMARIZE_THEN_DELETE,0,True,Small (2.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/diagnostics,2252,2.2K,SUMMARIZE_THEN_DELETE,0,True,Small (2.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b_no_roll,2223,2.2K,SUMMARIZE_THEN_DELETE,0,True,Small (2.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b_tune1,2223,2.2K,SUMMARIZE_THEN_DELETE,0,True,Small (2.2K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b_antisymmetric,2221,2.2K,SUMMARIZE_THEN_DELETE,0,True,Small (2.2K) generated output; has summary artifacts; extract summaries then delete.
